author,date,journal,link,section,summary,title
Michael Starr,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786085.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Starr%2C+Michael&pub=New+York+Post&edition=&startpage=62&desc=Boy%2C+I%27m+Scared%21+The+10+best+%27Twilight+Zone%27+episodes+on+Syfy,TV,"It's not only showing all 156 episodes of Rod Serling's classic CBS series, in chronological order - ""TZ"" aired from 1959 to '64 - but it's airing them in HD. (That probably won't make much of a difference for a black-and-white series from this era, but still . . .) This parable of life and death, decided in a seedy pool room (city unknown), features two actors with terrific chops and even better chemistry: Jack Klugman as Jesse Cardiff, the self-proclaimed best pool player on Randolph Street, and Jonathan Winters as the dead pool legend James Howard ""Fats"" Brown (""The best who ever was""). Fats materializes from pool-player heaven and challenges Jesse to a game. The stakes? If Jesse wins, he lives. If he loses, he dies. The banter between Klugman and Winters (stepping outside his comic comfort zone) is priceless. (And the timing was perfect: The episode aired shortly after the big-screen premiere of ""The Hustler,"" co-starring Jackie Gleason as pool legend Minnesota Fats.) This one still creeps me out. Evil youngster Anthony Fremont (Billy Mumy, later to star in ""Lost in Space"") holds his family and small Ohio town hostage by killing anyone who doesn't think good thoughts about him (or anything else) - turning them into something hideous before ""wishing"" them to a nearby cornfield. One of Anthony's neighbors gets drunk at a birthday party and mouths off about the young lad. Bad move. Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.","Boy, I'm Scared! The 10 best 'Twilight Zone' episodes on Syfy"
Bart Hubbuch,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786005.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Hubbuch%2C+Bart&pub=New+York+Post&edition=&startpage=60&desc=TOM%27S+UP+IN+THE+AIR+Coughlin%27s+desire+to+coach+Giants+in+2016+uncertain,Sport,"""What I want to do is win a game on Sunday - that's the bottom line for this group right now,"" [Tom Coughlin] added. ""I always have the competitive spirit, [but] sometimes it takes me a day or two to figure it all out when it's over. Right now, let's stick with the game and let's go win a football game."" ""[I] love him, there's no doubt,"" [Rashad Jennings] said. ""I love Coach Coughlin. The very first thing that I noticed from him the very first day I got here [was] something he said that kind of reiterates who he is: 'Faces may change, but expectations never do.' I've always seen him lead in that way, too. He's an awesome coach."" ""I'm focused on the game, I don't go that way [of thinking about what the emotions will be when Sunday's game is over],"" Coughlin said. ""I'm not thinking about any of that stuff."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",TOM'S UP IN THE AIR Coughlin's desire to coach Giants in 2016 uncertain
Kevin Kernan,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786230.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Kernan%2C+Kevin&pub=New+York+Post&edition=&startpage=60&desc=Plenty+of+lessons+in+this+lost+season,Sport,"Tom Coughlin did not meet the challenge this season. As the new year begins, here is a closer look at some of Coughlin's best qualities and the key coaching mistakes that caused his downfall. When The Post asked Coughlin on Thursday what the biggest thing he learned from this 6-9 season was, Coughlin offered a little laugh and said, ""Win the close games. Find a way to win the close ones."" Said running back Rashad Jennings: ""I love Coach Coughlin. The very first thing that I noticed from him the very first day I got here [was] something he said that kind of reiterates who he is: 'Faces may change, but expectations never do.' I've always seen him lead in that way, too. He's an awesome coach."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Plenty of lessons in this lost season
Brian Costello,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786305.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Costello%2C+Brian&pub=New+York+Post&edition=&startpage=59&desc=After+hitting+bottom%2C+offense+now+peaking,Sport,"""It's a reality check in the sense where you start out fast as a team and then you fall to a .500 record,"" wide receiver Eric Decker said of the midseason adjustment. ""You can go both ways. I've seen it go both ways. The fact that everyone rallied around one another and started to win one game after another, confidence built. I think we've played enough together to have the experience of what the systems are. ... It felt like we started having fun and started playing football instead of overthinking things and overdoing things."" ""I just wasn't pleased with the majority of my performance,"" [Ryan Fitzpatrick] said. ""That was just something I tried to evaluate after that game and work on the next few weeks and try to get better at and I think we've seen some progress and I just want to make sure I'm going out there and making the right decisions and making the right throw to the guys."" ""I think in order for us to progress to move forward, we had to incorporate more guys in the offense, because you can shut down two guys,"" [Todd Bowles] said. ""With [Bilal Powell] being back there along with [Kenbrell Thompkins] and Quincy, we've progressed quite a bit. I'm happy about that."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.","After hitting bottom, offense now peaking"
Steve Serby,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785830.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Serby%2C+Steve&pub=New+York+Post&edition=&startpage=58&desc=WHAT%27S+OLD+IS+NEW+Revis+%26amp%3B+Co.+ready+to+turn+back+the+clocks+to+2010,Sport,"""We've discussed it, we talked about it after practice, we understand we can't let one night ruin what you're going into this weekend ... you can't babysit them all,"" [Todd Bowles] said. ""They can run out to New York City and have fun and do everything you need to do, but understand what you have ahead of you and what you're coming into tomorrow."" ""It was mind-blowing, it was very mind-blowing to sit there ... the previous years you're sitting at home and watching everybody play,"" [Darrelle Revis] said. ""And you have these team goals before the season to sit here and say, 'Hey, we want to win the Super Bowl.' And, you get your dreams crushed when you don't make the playoffs the previous years. So, to actually finally get there, and be like, 'Wow, we're here,' but now we have to make some noise, we have to advance week-to-week to get where we want to go."" ""It's almost like divine intervention,"" he said at the time. ""I don't think it's coincidence. I hope God's a Jets fan."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",WHAT'S OLD IS NEW Revis & Co. ready to turn back the clocks to 2010
Howie Kussoy,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786255.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Howie+Kussoy&pub=New+York+Post&edition=&startpage=56&desc=For+confident+Watson%2C+it+was+all+elementary,Sport,"""I knew from the get-go,"" [Watson] said following Clemson's 37-17 win over Oklahoma in the Orange Bowl. ""I knew if we put the work in and the grind, we'd be at this point, and now we're here."" The Sooners spent the days before the Orange Bowl believing they had seen Watson's type of athleticism before, believing they understood what 13 teams hadn't figured out. That confidence was soon shattered, broken with the realization of how misleading film can be. ""He's the best player in the country,"" Clemson coach Dabo Swinney said. ""It's just that simple. ... There ain't a better one than No. 4. This guy is special in every regard."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.","For confident Watson, it was all elementary"
Howie Kussoy,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785891.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Howie+Kussoy&pub=New+York+Post&edition=&startpage=56&desc=A+PERFECT+RESPONSE+Clemson+silences+doubters%2C+rolls+past+OU+into+title+game,Sport,"""It's amazing to me that, I told them, 'You ain't favored to win the damn game, but we ain't no underdog,' "" said Clemson coach Dabo Swinney, whose 14-0 Tigers will face No. 2 Alabama in the National Championship Game. ""Everybody out there, nobody believes in this team except these guys and they just got a great heart and showed it."" ""We shocked them, didn't we?"" Swinney joked about the fake punt. ""Ain't nobody covering that big ol' guy. ... I just felt like that it was the right time. ... It was a great play and I thought a spark we needed. I felt like we were a little stagnant right there, a little tight and I wanted to send a message to the guys, 'Listen, we're here to play and let's cut it loose.' "" ""At this point, this championship drive, talent doesn't win the game. It's the will,"" Oklahoma linebacker Eric Striker said. ""They just seemed to have that edge and that will about them in the second half and we didn't."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.","A PERFECT RESPONSE Clemson silences doubters, rolls past OU into title game"
Zach Braziller,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785621.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Braziller%2C+Zach&pub=New+York+Post&edition=&startpage=55&desc=Believe+it+or+not+Tide+turned+after+frosh+WR+Ridley%27s+emergence,Sport,"The offense truly began to hits its stride two weeks later, when [Calvin Ridley], who had eight catches for 138 yards on Thursday, made his first start. He immediately became Alabama's No. 1 wide receiver that evening against Georgia, ranked eighth in the nation at the time, hauling in five catches for 120 yards and a touchdowns. He would have two more 100-yard receiving games, against Arkansas and Florida, during the regular season. And then came Thursday night, Ridley turning AT&T Stadium into his personal playground.  The cards were stacked against Ridley to make an impact this year. He played just three high-school games as a senior, because of Florida's age limits, which don't allow anyone over the age of 19 and nine months to be eligible to play. He didn't enroll at Alabama until the fall semester, late for most top football prospects. And he suffered a rib injury in the season opener against Wisconsin, an injury he still feels.  Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Believe it or not Tide turned after frosh WR Ridley's emergence
Zach Braziller,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786122.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Braziller%2C+Zach&pub=New+York+Post&edition=&startpage=54&desc=High+Tide+%27Bama+trounces+Michigan+St.+in+strong+semifinal+statement,Sport,"""The focus they had for this game was completely different than we ever had before, and I think it paid off for them,"" [Nick Saban] said after Alabama rebounded from last year's playoff loss to Ohio State. ""And we're looking forward to try to do the same thing for the next game.""  ""Tonight he had to make the plays because they were there, and [[Jake Coker]] certainly made them,"" Saban said. ""But I think in each game that we've asked him to do that, he's come through for us very nicely.""  The story, however, was the ferocious Alabama defense, which turned the physical Michigan State offensive attack meek, living up to its prodigious regular-season stats as the nation's leader in sacks and run defense. The front seven owned the line of scrimmage, living in the Spartans' backfield and sacking Connor Cook four times. The secondary, the third-ranked unit's supposed Achilles' heel, was strong in coverage, highlighted by [Cyrus Jones]' interception in the end zone to close the first half. At one point, a frustrated Cook could be seen on the scoreboard, saying to nobody in particular: ""They're f---ing everywhere.""  Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",High Tide 'Bama trounces Michigan St. in strong semifinal statement
Brian Costello,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785868.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Costello%2C+Brian&pub=New+York+Post&edition=&startpage=52&desc=Arians%3A+Bowles+is+top+coach,Sport,"""I think [Mike Maccagnan]'s done a good job getting us some talent,"" [Todd Bowles] said. ""I can't evaluate him compared to the other [31] because I don't know the other [31]. That's hard for me to answer. If I answered that, I would be biased just like [Bruce Arians]."" ""Carolina is what, 14-1, New England, Bruce himself, there's a bunch of guys, [Jay] Gruden's doing a great job,"" he said. ""There's a bunch of guys that can get that award. I don't worry about it."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Arians: Bowles is top coach
Brian Costello,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785868.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Costello%2C+Brian&pub=New+York+Post&edition=&startpage=52&desc=Arians%3A+Bowles+is+top+coach,Sport,"""I think [Mike Maccagnan]'s done a good job getting us some talent,"" [Todd Bowles] said. ""I can't evaluate him compared to the other [31] because I don't know the other [31]. That's hard for me to answer. If I answered that, I would be biased just like [Bruce Arians]."" ""Carolina is what, 14-1, New England, Bruce himself, there's a bunch of guys, [Jay] Gruden's doing a great job,"" he said. ""There's a bunch of guys that can get that award. I don't worry about it."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Arians: Bowles is top coach
Bart Hubbuch,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785776.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Hubbuch%2C+Bart&pub=New+York+Post&edition=&startpage=50&desc=Randle%27s+Island+Free-agent+WR+would+%27love%27+to+stay+with+Giants,Sport,"""I love playing on this team and love playing with the guys on this team,"" [Rueben Randle] told The Post. ""I've built a special bond with a lot of people in this organization, so it would be tough leaving them. I would love to stick around, but we'll see how it goes."" ""I'm going to leave it up to my people and the [Giants] organization,"" Randle said. ""My job is to play football, and after that, I'm going to let [my agents] do the job I pay them to do."" ""That's between he and I, but you can imagine [how it went],"" [Tom Coughlin] said of the meeting. ""You know exactly how he feels, and the fact that he's taken full responsibility. That's what he expressed to me, even to the extent that we began to talk a little bit more about the future.""Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Randle's Island Free-agent WR would 'love' to stay with Giants
,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752785612.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=&pub=New+York+Post&edition=&startpage=50&desc=Correction,Sport,"A reference in Thursday's Hondo column misidentified the leader of ISIS, who...Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Correction
Fred Kerber,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786260.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Kerber%2C+Fred&pub=New+York+Post&edition=&startpage=48&desc=Melo+won%27t+police+%27grown%27+teammates,Sport,"""No, I'm not going to put that pressure on me, not at all. I do what I can do. At the end of the day, we're all grown, all grown men,"" [Carmelo Anthony] said Thursday after practice. ""Everybody makes their own decisions. We talk about choices, decisions and consequences. That's a conversation we all have. Like I said, I can't tell somebody not to go to a place. Guys are going to go out. You can't stop that."" Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Melo won't police 'grown' teammates
Fred Kerber,2016-01-01,NYP,http://pqasb.pqarchiver.com/nypost/doc/1752786146.html?FMT=ABS&FMTS=ABS:FT&date=Jan+1%2C+2016&author=Kerber%2C+Fred&pub=New+York+Post&edition=&startpage=48&desc=Physical+therapy+Getting+back+on+the+court+helps+Knicks+cope+with+Cleanthony+shooting,Sport,"""We got a chance to go see him, go talk to him, he's in good spirits,"" Carmelo Anthony said of the Wednesday nighttime visits by teammates to Early's Manhattan hospital room. ""That kind of gave us some of our good spirits in here today. Came in here, got a good practice in. I don't want to say put that behind us, but we were able to focus on basketball today."" ""Couple of guys went in pairs, threes, but most of the guys went to go see him [Wednesday] night,"" Anthony said. ""He's good, relatively speaking. But he's in good spirits. It was good to see everybody come through. That definitely put a smile on his face. He'll be back soon."" ""Basketball - people don't understand, sport period - is very therapeutic,"" Anthony said. ""You can't control what happens off the court, but when you come into this gym, it's all about basketball. It's therapy. You get a chance to compete. ...Whether it's here, a football field, baseball stadium, a clubhouse, you can go to these places and feel like you're getting that release.""  Reproduced with permission of the copyright owner. Further reproduction or distribution is prohibited without permission.",Physical therapy Getting back on the court helps Knicks cope with Cleanthony shooting
